date,open,high,low,close,Adj Close,volume,rsi
1993-01-29,43.96875,43.96875,43.75,43.9375,25.218227,1003200,
1993-02-01,43.96875,44.25,43.96875,44.25,25.397591,480500,
1993-02-02,44.21875,44.375,44.125,44.34375,25.451401,201300,
1993-02-03,44.40625,44.84375,44.375,44.8125,25.72044,529400,
1993-02-04,44.96875,45.09375,44.46875,45.0,25.828062,531500,
1993-02-05,44.96875,45.0625,44.71875,44.96875,25.810122,492100,
1993-02-08,44.96875,45.125,44.90625,44.96875,25.810122,596100,
1993-02-09,44.8125,44.8125,44.5625,44.65625,25.630743,122100,
1993-02-10,44.65625,44.75,44.53125,44.71875,25.666618,379600,
1993-02-11,44.78125,45.125,44.78125,44.9375,25.792173,19500,
1993-02-12,44.875,44.875,44.59375,44.59375,25.594866,42500,
1993-02-16,44.46875,44.46875,43.40625,43.46875,24.949186,374800,
1993-02-17,43.46875,43.53125,43.28125,43.4375,24.93125,210900,
1993-02-18,43.9375,43.9375,42.8125,43.40625,24.913317,378100,
1993-02-19,43.40625,43.5625,43.34375,43.5625,25.002993,34900,44.44
1993-02-22,43.6875,43.78125,43.5625,43.71875,25.092663,513600,47.08
1993-02-23,43.84375,43.875,43.46875,43.6875,25.074738,373700,46.61
1993-02-24,43.71875,44.25,43.71875,44.25,25.397591,26300,55.37
1993-02-25,44.21875,44.375,44.125,44.34375,25.451401,44500,56.64
1993-02-26,44.4375,44.4375,44.1875,44.40625,25.487261,66200,57.52
1993-03-01,44.5625,44.5625,44.21875,44.28125,25.415512,66500,55.13
1993-03-02,44.3125,44.9375,44.25,44.9375,25.792173,182400,63.66
1993-03-03,45.0,45.15625,44.9375,45.125,25.899803,280100,65.67
1993-03-04,45.1875,45.1875,44.875,44.875,25.756317,89500,60.84
1993-03-05,44.9375,45.125,44.71875,44.75,25.684563,40000,58.52
1993-03-08,44.84375,45.75,44.84375,45.75,26.25852,50800,68.77
1993-03-09,45.65625,45.6875,45.5,45.59375,26.168833,169300,66.03
1993-03-10,45.59375,45.6875,45.40625,45.6875,26.222651,194400,66.88
1993-03-11,45.71875,45.84375,45.5,45.5625,26.150904,70900,64.55
1993-03-12,45.1875,45.21875,44.8125,45.09375,25.881863,643600,56.59
1993-03-15,45.0625,45.3125,45.0625,45.3125,26.007414,310800,59.12
1993-03-16,45.3125,45.4375,45.3125,45.3125,26.007414,30800,59.12
1993-03-17,45.25,45.25,44.96875,45.03125,25.845987,21800,54.39
1993-03-18,45.21875,45.5,45.21875,45.3125,26.007414,59300,58.01
1993-03-19,45.28125,45.28125,45.03125,45.03125,25.968044,66900,53.44
1993-03-22,44.59375,44.875,44.5625,44.78125,25.823887,183400,49.69
1993-03-23,44.90625,44.9375,44.8125,44.875,25.877956,55200,51.08
1993-03-24,44.8125,45.0625,44.59375,44.875,25.877956,37200,51.08
1993-03-25,44.90625,45.25,44.84375,45.15625,26.04014,110100,55.35
1993-03-26,45.125,45.15625,44.875,44.90625,25.895985,101500,51.08
1993-03-29,44.9375,45.3125,44.9375,45.09375,26.004103,87100,53.95
1993-03-30,45.15625,45.21875,45.09375,45.21875,26.076187,56000,55.81
1993-03-31,45.34375,45.46875,45.1875,45.1875,26.058165,111600,55.21
1993-04-01,45.25,45.25,44.9375,45.03125,25.968044,129500,52.19
1993-04-02,44.65625,44.65625,44.09375,44.09375,25.427422,59400,38.53
1993-04-05,44.4375,44.4375,44.1875,44.3125,25.553577,172200,42.33
1993-04-06,44.40625,44.40625,44.0625,44.1875,25.481489,129700,40.78
1993-04-07,44.25,44.34375,44.15625,44.34375,25.5716,28000,43.56
1993-04-08,44.53125,44.53125,44.09375,44.28125,25.535549,180800,42.69
1993-04-12,44.71875,44.9375,44.65625,44.90625,25.895985,348500,52.77
1993-04-13,44.875,45.15625,44.84375,45.0,25.950026,146100,54.07
1993-04-14,45.03125,45.0625,44.90625,44.9375,25.913992,119600,53.02
1993-04-15,44.90625,45.03125,44.75,44.9375,25.913992,148600,53.02
1993-04-16,44.96875,45.03125,44.875,44.9375,25.913992,47900,53.02
1993-04-19,44.9375,45.0625,44.71875,44.75,25.805866,157000,49.42
1993-04-20,44.6875,44.75,44.25,44.53125,25.679718,279500,45.54
1993-04-21,44.625,44.625,44.375,44.5,25.661707,67900,44.99
1993-04-22,44.3125,44.6875,43.9375,43.9375,25.33732,97700,36.53
1993-04-23,43.84375,43.96875,43.6875,43.75,25.229204,106000,34.22
1993-04-26,43.78125,43.9375,43.28125,43.40625,25.030968,62600,30.42
